#CONTIGS	SOURCE_GENOME	LENGTH	COVERAGE	ANNOT	GUT_GENOME000866	GUT_GENOME016058	GUT_GENOME025370	GUT_GENOME033606	GUT_GENOME036663	GUT_GENOME046547	GUT_GENOME047285	GUT_GENOME082911	GUT_GENOME099474	GUT_GENOME122658	GUT_GENOME123622	GUT_GENOME124217	GUT_GENOME125986	GUT_GENOME152745	GUT_GENOME154792	GUT_GENOME156087	GUT_GENOME189823	GUT_GENOME227639	GUT_GENOME231089	GUT_GENOME249529	GUT_GENOME252784	GUT_GENOME278258	KIJ_genome_14221	KIJ_genome_23957	KIJ_genome_4392
GUT_GENOME000866_4	GUT_GENOME000866	114648	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME016058_1	GUT_GENOME016058	444619	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME000866_13	GUT_GENOME000866	77900	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME000866_35	GUT_GENOME000866	16087	80.0	core	O	O	O	O	X	O	O	O	O	O	X	O	O	O	X	X	O	O	O	O	O	X	O	O	O
GUT_GENOME000866_14	GUT_GENOME000866	77519	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME000866_1	GUT_GENOME000866	161155	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME000866_16	GUT_GENOME000866	57781	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME016058_10	GUT_GENOME016058	57864	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME000866_11	GUT_GENOME000866	91300	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME016058_11	GUT_GENOME016058	48412	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME000866_33	GUT_GENOME000866	18800	96.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	X	O	O	O	O	O	O	O	O	O	O
GUT_GENOME016058_12	GUT_GENOME016058	48093	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME000866_5	GUT_GENOME000866	112056	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME016058_13	GUT_GENOME016058	42898	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME000866_59	GUT_GENOME000866	3620	92.0	shared_but_short	O	O	O	X	O	O	X	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME016058_14	GUT_GENOME016058	34785	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME000866_24	GUT_GENOME000866	31466	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME000866_6	GUT_GENOME000866	110941	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME016058_15	GUT_GENOME016058	19994	100.0	core	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
GUT_GENOME000866_44	GUT_GENOME000866	9468	56.00000000000001	not_shared	O	X	X	X	O	O	O	X	X	O	O	O	O	O	X	O	X	O	O	O	X	X	X	X	O
